symbol,side,entry_time,exit_time,qty,entry,exit,gross_pnl,commission,net_pnl
BTCUSD,short,2025-11-17 14:56:10.488080,2025-11-17 15:02:12.753579,30,95129.51117763,94895.98371875,7.005824,1.42344,5.582384
BTCUSD,short,2025-11-17 15:04:13.490692,2025-11-17 15:23:20.567314,30,94795.98371875,94222.34431518,17.209182,1.413335,15.795847
ETHUSD,short,2025-11-17 14:56:10.679703,2025-11-17 15:23:20.746592,30,3170.99577694,3126.57465537,13.326336,0.468986,12.85735
BTCUSD,short,2025-11-17 15:25:21.293806,2025-11-17 15:28:22.403532,30,94122.34431518,94460.33315547,-10.139665,1.416905,-11.55657
BTCUSD,long,2025-11-17 15:29:22.753277,2025-11-17 15:33:24.186950,30,94560.33315547,94153.73908106,-12.197822,1.412306,-13.610128
ETHUSD,long,2025-11-17 15:29:22.923134,2025-11-17 15:33:24.369568,30,3136.57465537,3130.55973911,-1.804475,0.469584,-2.274059
BTCUSD,short,2025-11-17 15:35:24.909741,2025-11-17 15:48:30.093643,30,94053.73908106,94344.51529762,-8.723286,1.415168,-10.138454
BTCUSD,short,2025-11-17 15:50:30.954877,2025-11-17 16:29:45.795947,30,94244.51529762,93503.61723108,22.226942,1.402554,20.824388
ETHUSD,short,2025-11-17 15:35:25.093079,2025-11-17 16:29:45.984975,30,3120.55973911,3094.39452796,7.849563,0.464159,7.385404
BTCUSD,short,2025-11-17 18:15:24.304321,2025-11-17 18:45:35.134863,30,93403.61723108,92790.63009497,18.389614,1.391859,16.997755
ETHUSD,short,2025-11-17 18:15:24.472344,2025-11-17 18:47:36.026973,30,3084.39452796,3051.91142414,9.744931,0.457787,9.287144
BTCUSD,short,2025-11-17 19:40:54.957926,2025-11-17 20:06:04.227278,30,92690.63009497,91711.71265108,29.367523,1.375676,27.991848
ETHUSD,short,2025-11-17 19:37:54.068755,2025-11-17 20:17:08.775277,30,3041.91142414,2982.65826448,17.775948,0.447399,17.328549
BTCUSD,short,2025-11-17 20:07:04.647062,2025-11-17 20:18:08.968896,30,91611.71265108,91789.97896482,-5.347989,1.37685,-6.724839
BTCUSD,short,2025-11-17 20:20:09.686139,2025-11-17 20:26:11.840220,30,91689.97896482,91990.54437491,-9.016962,1.379858,-10.39682
BTCUSD,short,2025-11-17 20:29:12.923885,2025-11-17 20:49:20.211172,30,91890.54437491,91911.43349585,-0.626674,1.378672,-2.005345
BTCUSD,long,2025-11-17 20:50:20.608898,2025-11-17 20:54:22.062488,30,92011.43349585,91847.15985412,-4.928209,1.377707,-6.305917
BTCUSD,long,2025-11-17 20:55:22.415918,2025-11-17 21:17:30.712669,30,91947.15985412,91839.26665604,-3.236796,1.377589,-4.614385
ETHUSD,long,2025-11-17 20:24:11.293774,2025-11-17 21:20:32.092701,30,2992.65826448,2998.81346599,1.84656,0.449822,1.396738
BTCUSD,short,2025-11-18 00:39:46.049939,2025-11-18 00:48:49.868566,30,91739.26665604,91786.39736118,-1.413921,1.376796,-2.790717
BTCUSD,long,2025-11-18 00:51:50.981884,2025-11-18 01:15:59.740093,30,91886.39736118,91835.14153097,-1.537675,1.377527,-2.915202
BTCUSD,long,2025-11-18 01:18:00.457084,2025-11-18 01:26:03.995694,30,91935.14153097,91771.44903591,-4.910775,1.376572,-6.287347
ETHUSD,long,2025-11-18 00:49:50.410689,2025-11-18 01:28:04.902215,30,3008.81346599,3020.89127778,3.623344,0.453134,3.17021
BTCUSD,short,2025-11-18 01:27:04.349282,2025-11-18 01:34:06.920005,30,91671.44903591,92000.14091292,-9.860756,1.380002,-11.240758
ETHUSD,long,2025-11-18 01:34:07.093580,2025-11-18 01:54:15.065977,30,3030.89127778,3015.21633843,-4.702482,0.452282,-5.154764
BTCUSD,short,2025-11-18 01:39:08.747860,2025-11-18 02:21:24.905427,30,91900.14091292,91214.46196511,20.570368,1.368217,19.202152
ETHUSD,short,2025-11-18 02:17:23.614552,2025-11-18 02:21:25.087192,30,3005.21633843,3010.61845602,-1.620635,0.451593,-2.072228
BTCUSD,long,2025-11-18 02:28:27.418634,2025-11-18 02:36:30.340067,30,91314.46196511,91281.86367992,-0.977949,1.369228,-2.347177
ETHUSD,long,2025-11-18 02:24:26.178494,2025-11-18 02:37:30.922311,30,3020.61845602,3018.95626641,-0.498657,0.452843,-0.9515
BTCUSD,short,2025-11-18 02:37:30.707213,2025-11-18 02:46:34.028374,30,91181.86367992,91626.34460006,-13.334428,1.374395,-14.708823
ETHUSD,long,2025-11-18 02:41:32.422647,2025-11-18 02:52:36.394803,30,3028.95626641,3011.04078564,-5.374644,0.451656,-5.8263
ETHUSD,short,2025-11-18 02:59:38.955494,2025-11-18 03:11:44.023584,30,3001.04078564,2976.52143107,7.355806,0.446478,6.909328
BTCUSD,short,2025-11-18 02:51:35.853467,2025-11-18 03:37:53.814857,30,91526.34460006,90237.34338893,38.670036,1.35356,37.316476
ETHUSD,short,2025-11-18 03:30:51.348740,2025-11-18 03:37:53.991734,30,2966.52143107,2986.03575845,-5.854298,0.447905,-6.302204
BTCUSD,long,2025-11-18 03:39:54.560992,2025-11-18 04:06:04.783430,30,90337.34338893,90497.39847549,4.801653,1.357461,3.444192
ETHUSD,long,2025-11-18 03:38:54.365775,2025-11-18 04:11:07.107487,30,2996.03575845,2999.6955221,1.097929,0.449954,0.647975
ETHUSD,short,2025-11-18 04:52:23.214958,2025-11-18 04:56:24.707981,30,2989.6955221,2990.69583609,-0.300094,0.448604,-0.748699
BTCUSD,short,2025-11-18 04:51:22.665670,2025-11-18 04:57:24.888313,30,90397.39847549,89964.95134982,12.973414,1.349474,11.623939
BTCUSD,long,2025-11-18 04:58:25.248103,2025-11-18 05:03:27.031887,30,90064.95134982,89719.39219039,-10.366775,1.345791,-11.712566
ETHUSD,long,2025-11-18 04:58:25.425498,2025-11-18 05:03:27.206184,30,3000.69583609,2984.69248367,-4.801006,0.447704,-5.24871
BTCUSD,long,2025-11-18 05:06:28.125578,2025-11-18 05:39:40.290659,30,89819.39219039,89997.51904562,5.343806,1.349963,3.993843
ETHUSD,long,2025-11-18 05:05:27.932300,2025-11-18 06:07:51.313760,30,2994.69248367,2997.87362026,0.954341,0.449681,0.50466
BTCUSD,long,2025-11-18 08:23:41.608625,2025-11-18 09:04:56.930331,30,90097.51904562,91028.7957297,27.938301,1.365432,26.572869
ETHUSD,long,2025-11-18 07:28:21.319534,2025-11-18 09:23:06.704948,30,3007.87362026,3038.88421738,9.303179,0.455833,8.847347
BTCUSD,long,2025-11-18 12:18:18.381250,2025-11-18 12:53:31.151286,30,91128.7957297,91467.88044312,10.172541,1.372018,8.800523
ETHUSD,long,2025-11-18 12:20:19.310925,2025-11-18 12:57:32.787315,30,3048.88421738,3043.09753728,-1.736004,0.456465,-2.192469
BTCUSD,long,2025-11-18 13:04:35.145882,2025-11-18 13:29:44.568433,30,91567.88044312,91257.84752196,-9.300988,1.368868,-10.669855
BTCUSD,short,2025-11-18 13:44:50.021492,2025-11-18 14:26:05.626456,30,91157.84752196,91622.48817569,-13.93922,1.374337,-15.313557
ETHUSD,short,2025-11-18 13:39:48.347227,2025-11-18 14:26:05.805023,30,3033.09753728,3060.72109019,-8.287066,0.459108,-8.746174
BTCUSD,long,2025-11-18 14:28:06.369457,2025-11-18 14:42:11.534470,30,91722.48817569,91891.62046019,5.073969,1.378374,3.695594
ETHUSD,long,2025-11-18 14:33:08.383774,2025-11-18 14:43:12.067736,30,3070.72109019,3065.01086692,-1.713067,0.459752,-2.172819
ETHUSD,long,2025-11-18 14:46:13.206232,2025-11-18 15:02:18.954576,30,3075.01086692,3049.22058554,-7.737084,0.457383,-8.194468
BTCUSD,short,2025-11-18 14:45:12.628072,2025-11-18 15:07:20.627454,30,91791.62046019,91482.58608831,9.271031,1.372239,7.898792
ETHUSD,short,2025-11-18 15:04:19.682902,2025-11-18 15:07:20.803370,30,3039.22058554,3066.68238095,-8.238539,0.460002,-8.698541
BTCUSD,long,2025-11-18 15:09:21.361916,2025-11-18 15:35:31.259137,30,91582.58608831,92418.53527256,25.078476,1.386278,23.692197
ETHUSD,long,2025-11-18 15:10:21.912644,2025-11-18 15:35:31.437359,30,3076.68238095,3096.08699777,5.821385,0.464413,5.356972
BTCUSD,long,2025-11-18 15:37:31.995690,2025-11-18 15:50:36.939691,30,92518.53527256,92479.42824188,-1.173211,1.387191,-2.560402
BTCUSD,long,2025-11-18 15:52:37.651746,2025-11-18 16:06:42.911837,30,92579.42824188,92554.51144126,-0.747504,1.388318,-2.135822
BTCUSD,long,2025-11-18 16:09:44.148837,2025-11-18 16:39:55.065035,30,92654.51144126,93385.93483013,21.942702,1.400789,20.541913
ETHUSD,long,2025-11-18 15:37:32.176432,2025-11-18 17:13:07.130067,30,3106.08699777,3145.8782076,11.937363,0.471882,11.465481
BTCUSD,short,2025-11-18 19:46:02.260433,2025-11-18 21:22:37.092254,30,93285.93483013,92987.55501376,8.951394,1.394813,7.556581
ETHUSD,short,2025-11-18 21:33:41.192920,2025-11-18 22:24:00.174611,30,3135.8782076,3121.46383285,4.324312,0.46822,3.856093
BTCUSD,long,2025-11-18 22:25:00.364201,2025-11-18 23:08:17.080883,30,93087.55501376,93021.80584523,-1.972475,1.395327,-3.367802
BTCUSD,short,2025-11-19 00:03:36.870225,2025-11-19 00:41:50.971854,30,92921.80584523,92376.19680235,16.368271,1.385643,14.982628
ETHUSD,short,2025-11-19 00:03:37.042217,2025-11-19 00:43:51.863340,30,3111.46383285,3105.22294616,1.872266,0.465783,1.406483
BTCUSD,long,2025-11-19 00:43:51.694727,2025-11-19 01:02:58.921811,30,92476.19680235,92245.97106329,-6.906772,1.38369,-8.290462
BTCUSD,short,2025-11-19 01:11:01.784354,2025-11-19 01:20:05.085764,30,92145.97106329,92267.98685866,-3.660474,1.38402,-5.044494
ETHUSD,short,2025-11-19 01:02:59.098087,2025-11-19 01:22:06.048522,30,3095.22294616,3110.43123917,-4.562488,0.466565,-5.029053
BTCUSD,long,2025-11-19 01:22:05.871277,2025-11-19 02:21:27.896529,30,92367.98685866,92465.79432955,2.934224,1.386987,1.547237
BTCUSD,short,2025-11-19 03:49:59.746977,2025-11-19 05:55:46.552514,30,92365.79432955,90344.39724071,60.641913,1.355166,59.286747
ETHUSD,short,2025-11-19 03:20:49.464462,2025-11-19 05:59:48.172500,30,3100.43123917,3015.59483131,25.450922,0.452339,24.998583
BTCUSD,short,2025-11-19 05:57:47.268721,2025-11-19 06:09:51.726106,30,90244.39724071,90617.31693905,-11.187591,1.35926,-12.546851
BTCUSD,short,2025-11-19 06:10:52.312053,2025-11-19 06:30:59.627350,30,90517.31693905,90821.10764973,-9.113721,1.362317,-10.476038
BTCUSD,long,2025-11-19 06:33:00.336624,2025-11-19 08:40:48.787479,30,90921.10764973,91531.51526646,18.312229,1.372973,16.939256
ETHUSD,long,2025-11-19 06:09:51.918181,2025-11-19 09:01:57.388023,30,3025.59483131,3073.60861174,14.404134,0.461041,13.943093
BTCUSD,short,2025-11-19 09:05:58.764701,2025-11-19 09:32:09.959245,30,91431.51526646,91391.06669075,1.213457,1.370866,-0.157409
ETHUSD,short,2025-11-19 09:04:58.565180,2025-11-19 09:54:18.149189,30,3063.60861174,3079.45827071,-4.754898,0.461919,-5.216816
ETHUSD,long,2025-11-19 10:08:23.263142,2025-11-19 11:31:54.176792,30,3089.45827071,3084.12908388,-1.598756,0.462619,-2.061375
BTCUSD,long,2025-11-19 12:47:22.353207,2025-11-19 13:36:40.333223,30,91491.06669075,91346.9181699,-4.324456,1.370204,-5.694659
ETHUSD,long,2025-11-19 12:47:22.527944,2025-11-19 13:36:40.515632,30,3094.12908388,3075.36403364,-5.629515,0.461305,-6.09082
BTCUSD,short,2025-11-19 14:04:50.898625,2025-11-19 14:13:54.140205,30,91246.9181699,91507.43865233,-7.815614,1.372612,-9.188226
BTCUSD,short,2025-11-19 14:18:55.946498,2025-11-19 14:34:01.529946,30,91407.43865233,91487.01997418,-2.38744,1.372305,-3.759745
ETHUSD,short,2025-11-19 13:54:47.280233,2025-11-19 14:34:01.710417,30,3065.36403364,3050.19930629,4.549418,0.45753,4.091888
ETHUSD,short,2025-11-19 14:41:04.414315,2025-11-19 14:46:06.214892,30,3040.19930629,3061.04664277,-6.254201,0.459157,-6.713358
ETHUSD,short,2025-11-19 14:51:08.078779,2025-11-19 15:01:11.754040,30,3051.04664277,3073.53808876,-6.747434,0.461031,-7.208465
ETHUSD,long,2025-11-19 15:08:14.327983,2025-11-19 15:19:18.391183,30,3083.53808876,3072.84615929,-3.207579,0.460927,-3.668506
BTCUSD,long,2025-11-19 14:43:04.951992,2025-11-19 15:20:18.571800,30,91587.01997418,91860.08766986,8.192031,1.377901,6.81413
BTCUSD,short,2025-11-19 15:22:19.305049,2025-11-19 16:42:48.653332,30,91760.08766986,89807.92348483,58.564926,1.347119,57.217807
ETHUSD,short,2025-11-19 15:20:18.757517,2025-11-19 16:42:48.825091,30,3062.84615929,2963.77107788,29.722524,0.444566,29.277959
